Name,Country,Field of Expertise,IQ,Achievements,Birth Year,Gender,Notable Works,Awards,Education,Influence
Enrico Fermi,Austria,Polymath,199,Father of Computer Science,1968,Female,E=mc²,Numerous Posthumous,Self-taught,Popularizing science and cosmology
Max Planck,Italy,Chemistry,159,Theory of Evolution,1986,Female,Bohr Model,Nobel Prize,Ph.D. in Astronomy,Foundational work in quantum mechanics
Paul Dirac,UK,Physics,177,Quantum Mechanics,1927,Female,Cosmos,Nobel Prize,Ph.D. in Mathematics,Foundation of classical mechanics
Erwin Schrödinger,Italy,Physics,130,Electromagnetic Induction,1921,Female,Discovery of Electromagnetic Induction,Nobel Prize,University of Cambridge,Iconic Renaissance artist and inventor
Paul Dirac,UK,Physics,163,Wave Equation,1964,Female,On Computable Numbers,Nobel Prize,Ph.D. (honorary),Foundational work in quantum mechanics
Stephen Hawking,USA,Astronomy,191,Quantum Theory,1990,Male,Various Patents,Nobel Prize,Ph.D. (honorary),Foundational work in quantum mechanics
Max Planck,Germany,Mathematics,187,First computer algorithm,1966,Female,Dialogue Concerning the Two Chief World Systems,N/A,Ph.D. in Astronomy,Discovery of electromagnetic induction
Isaac Newton,UK,Astronomy,186,General Theory of Relativity,1908,Female,Theory of Electromagnetism,Pulitzer Prize,Ph.D. in Physics,Nuclear physics and reactor development
Nikola Tesla,Italy,Chemistry,149,Heliocentric Theory,1923,Female,Research on radioactivity,N/A,Ph.D.,Contributions to cosmology and quantum gravity
Stephen Hawking,USA,Biology,182,Quantum Theory,1906,Female,Quantum Theory,N/A,Ph.D. in Physics,Evolutionary biology pioneer
Carl Sagan,Italy,Mathematics,187,Nuclear Reactor,1959,Male,On the Origin of Species,N/A,Ph.D. in Physics,Discovery of electromagnetic induction
Erwin Schrödinger,Germany,Physics,160,Theory of Evolution,1926,Male,A Brief History of Time,Nobel Prize,Ph.D. in Physics,Evolutionary biology pioneer
Albert Einstein,USA,Engineering,141,Theory of Evolution,1938,Female,Cosmos,Two Nobel Prizes,University of Cambridge,Foundational work in quantum mechanics
Charles Darwin,UK,Mathematics,185,Wave Equation,1986,Female,Bohr Model,Pulitzer Prize,Ph.D. in Mathematics,Foundational work in quantum mechanics
James Clerk Maxwell,UK,Mathematics,164,General Theory of Relativity,1945,Male,On Computable Numbers,Nobel Prize,Ph.D. in Chemistry,Foundational work in quantum mechanics
Carl Sagan,Italy,Mathematics,158,"AC Electricity, Tesla Coil",1992,Male,On the Origin of Species,Nobel Prize,Ph.D. in Physics,Evolutionary biology pioneer
Richard Feynman,Austria,Physics,144,"AC Electricity, Tesla Coil",1918,Female,Bohr Model,N/A,Ph.D. in Physics,Quantum electrodynamics and physics teaching
Stephen Hawking,UK,Physics,130,Cosmos Series,1967,Male,Theory of Electromagnetism,N/A,Ph.D. in Physics,Contributions to cosmology and quantum gravity
Charles Darwin,Denmark,Biology,176,Father of Computer Science,1901,Female,Bohr Model,Nobel Prize,Ph.D. in Mathematics,Pioneering research in radioactivity
Paul Dirac,USA,Physics,139,Quantum Mechanics,1947,Male,Cosmos,Nobel Prize,Ph.D. in Chemistry,Penrose's work on black holes and cosmology
Carl Sagan,Italy,Physics,174,Quantum Mechanics,1920,Female,Philosophiæ Naturalis Principia Mathematica,Nobel Prize,University of Pisa,Pioneering research in radioactivity
James Clerk Maxwell,Germany,Physics,192,Theory of Relativity,1968,Female,On Computable Numbers,Nobel Prize,Ph.D. in Chemistry,Penrose's work on black holes and cosmology
Charles Darwin,Italy,Mathematics,193,Cosmos Series,2000,Female,On Computable Numbers,Royal Medal,Ph.D. in Astronomy,Quantum electrodynamics and physics teaching
Albert Einstein,Italy,Chemistry,199,Theory of Relativity,1911,Female,Cosmos,Nobel Prize,Ph.D. in Astronomy,Pioneering research in radioactivity
Stephen Hawking,UK,Physics,182,Laws of Motion,1949,Female,Feynman Lectures,N/A,Self-taught,Developed quantum theory
Charles Darwin,UK,Physics,130,Quantum Electrodynamics,1922,Female,Feynman Lectures,Nobel Prize,University of Cambridge,Foundational work in quantum mechanics
Isaac Newton,Austria,Physics,193,Quantum Theory,1921,Male,Quantum Theory,Nobel Prize,Self-taught,Laid the groundwork for modern computing
Max Planck,UK,Biology,177,Laws of Motion,1939,Female,On Computable Numbers,Nobel Prize,University of Cambridge,Evolutionary biology pioneer
Albert Einstein,Denmark,Chemistry,141,Nuclear Reactor,1923,Male,Philosophiæ Naturalis Principia Mathematica,Royal Medal,Ph.D. in Chemistry,Evolutionary biology pioneer
Richard Feynman,Austria,Mathematics,155,Quantum Electrodynamics,1914,Male,E=mc²,Royal Medal,Self-taught,Nuclear physics and reactor development
Nikola Tesla,UK,Physics,192,Heliocentric Theory,1922,Female,Bohr Model,Nobel Prize,Ph.D. in Mathematics,Evolutionary biology pioneer
Nikola Tesla,Germany,Physics,170,First computer algorithm,1985,Female,A Brief History of Time,Numerous Posthumous,Self-taught,Foundational work in quantum mechanics
Alan Turing,UK,Engineering,152,General Theory of Relativity,2000,Male,Various Patents,Pulitzer Prize,Ph.D. in Physics,Foundational work in quantum mechanics
